Unnamed: 0,id,pedestrian_category,pedestrian_condition,pedestrian_behaviour,situation_at_the_point_of_accident
17183,10806190923,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,,walking on the wrong side
17184,10806190941,another group,good no adverse circumstances were found,"correct, appropriate",walking on the wrong side
17185,11106190057,man,not detected,,another situation
17186,11106190109,Woman,good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
17187,11106190149,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
17188,11106190229,Woman,good no adverse circumstances were found,,walking on the right side
17189,11106190251,Woman,not detected,,another situation
17190,11106190258,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17191,11106190262,child (up to 15 years),"inattention, distraction",poor estimation of the distance and speed of the vehicle,crossing at a marked crossing
17192,11106190391,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17193,11106190418,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17194,11106190427,man,"suicide attempt, suicide","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
17195,11106190545,Woman,good no adverse circumstances were found,"confused, hasty, indecisive behaviour",Crossing outside the crossing (20 metres or more from the crossing)
17196,11106190802,Woman,good no adverse circumstances were found,,another situation
17197,11106190806,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
17198,11106190824,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17199,11106190854,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
17200,11106190936,another group,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
17201,11106190967,child (up to 15 years),good no adverse circumstances were found,Side impact,another situation
17202,11106191007,man,good no adverse circumstances were found,"correct, appropriate",another situation
17203,11106191009,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
17204,11106191043,man,good no adverse circumstances were found,"correct, appropriate",another situation
17205,11106191053,man,good no adverse circumstances were found,"confused, hasty, indecisive behaviour",crossing just in front of or behind a vehicle at a bus stop
17206,11106191157,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,another situation
17207,11106191166,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
17208,11106191199,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17209,11106191209,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17210,11106191269,Woman,"physical disability (illness, nausea, reduced mobility, etc.)","correct, appropriate",crossing at a marked crossing
17211,11106191286,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
17212,11106191375,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,walking on the right side
17213,11106191404,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
17214,11106191420,Woman,good no adverse circumstances were found,,crossing at a marked crossing
17215,11106191526,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
17216,11106191543,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17217,11106191545,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
17218,11106191563,Woman,"inattention, distraction",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
17219,11106191592,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17220,11106191595,Woman,good no adverse circumstances were found,"correct, appropriate",crossing just in front of or behind a parked vehicle
17221,11106191620,man,good no adverse circumstances were found,"correct, appropriate",another situation
17222,11106191627,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,Crossing outside the crossing (20 metres or more from the crossing)
17223,11206190019,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
17224,11206190066,man,good no adverse circumstances were found,Side impact,crossing just in front of or behind a parked vehicle
17225,11206190069,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
17226,11206190083,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17227,11206190176,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17228,11206190181,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
17229,11206190188,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17230,11206190217,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,another situation
17231,11206190437,man,good no adverse circumstances were found,"correct, appropriate",another situation
17232,11206190458,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
17233,11206190517,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
17234,11206190546,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
17235,11206190710,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
17236,11206190713,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate","walking, standing on the pavement"
17237,11206190785,man,good no adverse circumstances were found,"correct, appropriate",another situation
17238,11406190026,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,another situation
17239,11406190027,Woman,good no adverse circumstances were found,sudden entry into the road from a boarding or dividing island,Crossing outside the crossing (20 metres or more from the crossing)
17240,11406190047,man,not detected,sudden change in walking direction,Crossing outside the crossing (20 metres or more from the crossing)
17241,11406190092,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17242,11406190208,child (up to 15 years),not detected,"correct, appropriate",crossing at a marked crossing
17243,11406190210,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
17244,11406190224,child (up to 15 years),good no adverse circumstances were found,"confused, hasty, indecisive behaviour",crossing just in front of or behind a vehicle at a bus stop
17245,11406190225,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing just in front of or behind a vehicle at a bus stop
17246,11406190284,another group,good no adverse circumstances were found,,another situation
17247,11406190302,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17248,11406190349,group of children,good no adverse circumstances were found,"correct, appropriate",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
17249,11406190351,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
17250,11406190373,child (up to 15 years),good no adverse circumstances were found,"confused, hasty, indecisive behaviour",Crossing outside the crossing (20 metres or more from the crossing)
17251,11406190503,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17252,11406190535,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
17253,11406190701,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
17254,11406190784,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
17255,11406190795,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
17256,11406190802,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
17257,11406190817,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
17258,11406190824,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",walking on the right side
17259,11406190826,man,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
17260,11406190846,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17261,11406190850,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17262,11406190860,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,sudden change in walking direction,walking on the wrong side
17263,11506190036,man,good no adverse circumstances were found,"correct, appropriate",another situation
17264,11506190054,man,"inattention, distraction","confused, hasty, indecisive behaviour",walking on the wrong side
17265,11506190067,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17266,11506190071,child (up to 15 years),good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,crossing at a marked crossing
17267,11506190109,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
17268,11506190120,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
17269,11506190145,man,good no adverse circumstances were found,sudden change in walking direction,another situation
17270,11506190163,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
17271,11506190177,child (up to 15 years),good no adverse circumstances were found,Side impact,crossing at a marked crossing
17272,11506190193,man,good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
17273,11506190254,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
17274,11506190283,Woman,"inattention, distraction",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
17275,11506190291,another group,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
17276,11506190364,man,good no adverse circumstances were found,"correct, appropriate",another situation
17277,11506190387,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
17278,11506190399,child (up to 15 years),not detected,"correct, appropriate",another situation
17279,11506190423,Woman,not detected,"correct, appropriate",crossing just in front of or behind a parked vehicle
17280,11506190446,Woman,"physical disability (illness, nausea, reduced mobility, etc.)",poor estimation of the distance and speed of the vehicle,another situation
17281,11506190489,child (up to 15 years),"inattention, distraction",,Crossing outside the crossing (20 metres or more from the crossing)
17282,11506190503,child (up to 15 years),not detected,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
17283,11506190510,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17284,11506190553,Woman,"inattention, distraction","correct, appropriate",another situation
17285,11506190651,Woman,good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
17286,11506190671,another group,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
17287,11506190679,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
17288,11506190734,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
17289,11506190740,another group,good no adverse circumstances were found,"correct, appropriate",another situation
17290,11506190756,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17291,11506190757,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
17292,11606190043,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
17293,11606190045,child (up to 15 years),good no adverse circumstances were found,Side impact,Crossing outside the crossing (20 metres or more from the crossing)
17294,11606190085,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17295,11606190134,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17296,11606190204,child (up to 15 years),good no adverse circumstances were found,Side impact,crossing at a marked crossing
17297,11606190226,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
17298,11606190247,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
17299,11606190273,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
17300,11606190282,Woman,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
17301,11606190384,another group,good no adverse circumstances were found,"correct, appropriate",another situation
17302,11606190450,child (up to 15 years),"inattention, distraction",poor estimation of the distance and speed of the vehicle,another situation
17303,11606190630,man,not detected,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
17304,11606190709,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a vehicle at a bus stop
17305,11606190716,another group,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17306,11606190774,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17307,11606190784,man,invalid,,another situation
17308,11606190808,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,crossing at a marked crossing
17309,11606190827,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17310,11606190896,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
17311,11606190903,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17312,11606190932,man,good no adverse circumstances were found,"correct, appropriate",crossing just in front of or behind a parked vehicle
17313,11606190936,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17314,11606190940,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
17315,20106190041,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17316,20106190054,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
17317,20106190069,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
17318,20106190073,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
17319,20106190086,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
17320,20106190109,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17321,20106190137,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17322,20106190185,child (up to 15 years),good no adverse circumstances were found,Side impact,crossing at a marked crossing
17323,20106190205,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
17324,20106190208,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
17325,20106190213,Woman,"physical disability (illness, nausea, reduced mobility, etc.)",sudden change in walking direction,Crossing outside the crossing (20 metres or more from the crossing)
17326,20106190280,man,good no adverse circumstances were found,"correct, appropriate",another situation
17327,20106190303,another group,not detected,,another situation
17328,20106190305,man,good no adverse circumstances were found,"correct, appropriate",another situation
17329,20106190322,child (up to 15 years),good no adverse circumstances were found,,crossing just in front of or behind a parked vehicle
17330,20106190326,Woman,"physical disability (illness, nausea, reduced mobility, etc.)","correct, appropriate",crossing at a marked crossing
17331,20106190328,child (up to 15 years),good no adverse circumstances were found,sudden entry into the road from a boarding or dividing island,crossing at a marked crossing
17332,20106190344,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
17333,20106190411,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"correct, appropriate",crossing at a marked crossing
17334,20106190419,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
17335,20106190421,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17336,20106190424,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,another situation
17337,20106190435,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
17338,20106190449,another group,not detected,,another situation
17339,20106190455,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17340,20106190463,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
17341,20106190474,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
17342,20106190583,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
17343,20106190585,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",walking on the right side
17344,20106190592,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17345,20106190599,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17346,20106190603,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",walking on the wrong side
17347,20106190617,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17348,20106190651,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
17349,20106190664,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17350,20106190751,man,"physical disability (illness, nausea, reduced mobility, etc.)","correct, appropriate",crossing at a marked crossing
17351,20106190776,man,not detected,,another situation
17352,20106190819,man,not detected,,another situation
17353,20106190880,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17354,20106190893,man,good no adverse circumstances were found,"correct, appropriate",another situation
17355,20106190938,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17356,20106190951,Woman,good no adverse circumstances were found,"correct, appropriate",crossing just in front of or behind a parked vehicle
17357,20106190962,Woman,good no adverse circumstances were found,"correct, appropriate",crossing just in front of or behind a parked vehicle
17358,20106190966,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17359,20106190968,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
17360,20106191001,group of children,"inattention, distraction","confused, hasty, indecisive behaviour",another situation
17361,20106191002,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17362,20106191013,man,good no adverse circumstances were found,"confused, hasty, indecisive behaviour",Crossing outside the crossing (20 metres or more from the crossing)
17363,20106191067,man,good no adverse circumstances were found,"correct, appropriate",walking on the wrong side
17364,20106191087,Woman,good no adverse circumstances were found,"confused, hasty, indecisive behaviour",pedestrian entering on the STOP signal
17365,20106191107,man,good no adverse circumstances were found,,another situation
17366,20106191151,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17367,20106191161,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17368,20106191174,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17369,20106191195,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17370,20106191200,man,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
17371,20106191211,Woman,good no adverse circumstances were found,,pedestrian entering on the STOP signal
17372,20106191215,Woman,not detected,,crossing at a marked crossing
17373,20106191216,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
17374,20106191220,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17375,20106191227,man,good no adverse circumstances were found,"correct, appropriate",another situation
17376,20106191241,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17377,20106191249,another group,not detected,,another situation
17378,20106191259,Woman,"inattention, distraction","confused, hasty, indecisive behaviour",Crossing outside the crossing (20 metres or more from the crossing)
17379,20206190059,man,good no adverse circumstances were found,"correct, appropriate",another situation
17380,20206190067,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",walking on the wrong side
17381,20206190091,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
17382,20206190110,child (up to 15 years),not detected,Side impact,crossing just in front of or behind a parked vehicle
17383,20206190153,man,not detected,,crossing at a marked crossing
17384,20206190220,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
17385,20206190248,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
17386,20206190264,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
17387,20206190278,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
17388,20206190301,Woman,good no adverse circumstances were found,,walking on the right side
17389,20206190305,Woman,good no adverse circumstances were found,,walking on the right side
17390,20206190354,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"confused, hasty, indecisive behaviour",Crossing outside the crossing (20 metres or more from the crossing)
17391,20206190362,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,another situation
17392,20206190366,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
17393,20206190379,man,good no adverse circumstances were found,"correct, appropriate",another situation
17394,20206190402,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
17395,20206190434,Woman,good no adverse circumstances were found,,crossing just in front of or behind a parked vehicle
17396,20206190442,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17397,20206190455,Woman,"inattention, distraction",Side impact,walking on the wrong side
17398,20206190466,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",walking on the right side
17399,20206190488,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
17400,20206190494,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
17401,20206190538,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
17402,20206190561,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17403,20306190017,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17404,20306190025,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
17405,20306190043,Woman,good no adverse circumstances were found,,walking on the right side
17406,20306190085,man,not detected,,another situation
17407,20306190091,child (up to 15 years),good no adverse circumstances were found,children playing on the road,crossing just in front of or behind a parked vehicle
17408,20306190115,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
17409,20306190126,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17410,20306190139,Woman,good no adverse circumstances were found,sudden change in walking direction,walking on the wrong side
17411,20306190175,Woman,good no adverse circumstances were found,,"walking, standing on the pavement"
17412,20306190212,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17413,20306190221,child (up to 15 years),good no adverse circumstances were found,children playing on the road,Crossing outside the crossing (20 metres or more from the crossing)
17414,20306190244,man,good no adverse circumstances were found,,another situation
17415,20306190272,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
17416,20306190276,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
17417,20306190331,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
17418,20306190339,man,good no adverse circumstances were found,"correct, appropriate",another situation
17419,20306190342,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
17420,20306190356,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
17421,20306190400,man,good no adverse circumstances were found,"correct, appropriate",another situation
17422,20306190458,child (up to 15 years),good no adverse circumstances were found,Side impact,crossing at a marked crossing
17423,20306190491,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",walking on the wrong side
17424,20306190494,Woman,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
17425,20506190001,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17426,20506190005,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",crossing at a marked crossing
17427,20506190020,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17428,20506190087,child (up to 15 years),"inattention, distraction","confused, hasty, indecisive behaviour",crossing at a marked crossing
17429,20506190095,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
17430,20506190101,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17431,20506190116,child (up to 15 years),good no adverse circumstances were found,Side impact,Crossing outside the crossing (20 metres or more from the crossing)
17432,20506190138,Woman,good no adverse circumstances were found,"correct, appropriate",crossing just in front of or behind a parked vehicle
17433,20506190276,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
17434,20506190303,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
17435,20506190319,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
17436,20506190404,man,good no adverse circumstances were found,"correct, appropriate",another situation
17437,20506190408,another group,not detected,,another situation
17438,20506190412,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17439,20506190414,man,not detected,,Crossing outside the crossing (20 metres or more from the crossing)
17440,20506190420,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
17441,20606190027,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
17442,20606190051,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,Side impact,Crossing outside the crossing (20 metres or more from the crossing)
17443,20606190055,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17444,20606190073,Woman,good no adverse circumstances were found,,pedestrian entering on the STOP signal
17445,20606190084,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
17446,20606190096,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
17447,20606190155,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17448,20606190157,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
17449,20606190396,man,good no adverse circumstances were found,,walking on the right side
17450,20706190139,man,good no adverse circumstances were found,"correct, appropriate",another situation
17451,20706190162,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
17452,20706190234,child (up to 15 years),good no adverse circumstances were found,Side impact,another situation
17453,20706190244,man,good no adverse circumstances were found,"correct, appropriate",another situation
17454,20706190280,man,not detected,"correct, appropriate",another situation
17455,20706190281,Woman,"physical disability (illness, nausea, reduced mobility, etc.)","correct, appropriate",another situation
17456,20706190324,Woman,good no adverse circumstances were found,,another situation
17457,20706190331,Woman,"inattention, distraction","confused, hasty, indecisive behaviour",another situation
17458,20706190372,child (up to 15 years),"inattention, distraction","confused, hasty, indecisive behaviour",Crossing outside the crossing (20 metres or more from the crossing)
17459,20706190464,Woman,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
17460,20706190475,Woman,not detected,,another situation
17461,20706190481,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17462,20806190027,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
17463,20806190030,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17464,20806190047,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
17465,20806190074,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
17466,20806190106,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
17467,20806190124,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
17468,20806190134,man,good no adverse circumstances were found,"correct, appropriate",another situation
17469,20806190141,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17470,20806190192,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
17471,20806190220,Woman,good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
